1983238887	0	a	sun burn  :L ohh well least its sunny:L
2053236747	4	a	I never seen to be able to get over 64 follows without losing one. Weird, because its also my lucky number... *makes ghost noise* 
1994028876	4	a	@andypiper Au contraire. It's much more fun this way... 
2059872578	0	a	@KrisSimons  You're way ahead of me, then.  I'm still an MVC novice.  I don't get to code much at work   It's like a weekend hobby.
1981739203	4	a	@dclarkesworld Lol, its no struggle. I watch it but I can live without. Bbm me, I am signing out. 
1693351974	4	a	@elizabethcb Ha!  Now that I thought of it again, I wonder if itï¿½s about the need to be attached/belong to something? Can be good or bad
1686779769	4	a	@irenerencsi Morning Irene! Thanks  How is everything today? Any plans today?
2190384499	0	a	@mktweetup one pic and i look horrible... typical 
2063898964	4	a	The Climb! 
2213837226	0	a	Hunting 3 Currawongs that are in my garden.. unfortunately I am not allowed outside, just looking through the glass  http://bit.ly/110MIJ
1832375845	4	a	waiting for Michael to come over and spend some time with me 
2250429784	0	a	On my way to work. Let the day begin 
2285340592	0	a	I can't believe class isn't over yet! whaddafuck! 
1834810396	4	a	Good morning everyone. Late start because this cold weather wasn't doing it 4 me but the good lord got me up and started me on my way. 
2188449645	4	a	@RealLamarOdom have fun! You guys well deserved it!  
2185005011	0	a	not looking forward to Jeremy leaving today 
2013841730	0	a	@Kacizzle88 I LOVE LIL DEZ! lmao i jus love all those commercials RIP 
2205531764	0	a	Eat too much today 
1468586916	4	a	@empireofthekop the word you are looking for is SCUM. 
2052283512	4	a	@Locket2you  
1955969358	0	a	@BillWixey My support goes out to you. My father died of hodgkin's. Get well soon 
2056345485	0	a	@Waughon yeah it is supposed t orain pretty soon  maybe you'll get lucky though.  at least you won't burn?
1573046340	4	a	@eamusik GET THE PURPLE ONES AND BRING ME SOME!!! 
2295190580	0	a	1/2 off pizza @PapaJohns available only today...I am starving. 
1932266220	0	a	@jerrydmrdmr must be US citizen 
2015020564	4	a	@lilyroseallen Can't wait for the concert tomrrow! 
1564933705	4	a	Happy Monday greetings tweeps  
1993350819	4	a	Good deal. Be in touch again tonight.  @roguemovement
2049421733	4	a	So glad I got to lay out today  this summer has been absolutely amazing so far
1686528386	4	a	had a beauty sleep day  ugh tomorrows monday, so not ready 
2050058992	4	a	@withgoodworks that's a very pretty shot 
1573686671	4	a	@ManuelViloria The other insight on this is.. You can always get money back. You can't get back lost time. 
1826277163	4	a	@MichaelC1980 r u out the shower yet?  *peeks*
2253768590	0	a	@memulloy no they don't. 
2183931339	4	a	@lilyroseallen: listening to Straight To Hell right now. . Gotta say its WAY better than the original 
